Country,LifeExpectancy
Afghanistan,48
Albania,73
Algeria,72
Andorra,82
Angola,52
Antigua and Barbuda,74
Argentina,75
Armenia,70
Australia,82
Austria,80
Azerbaijan,68
Bahamas,76
Bahrain,74
Bangladesh,65
Barbados,76
Belarus,70
Belgium,80
Belize,73
Benin,57
Bhutan,63
Bolivia (Plurinational State of),68
Bosnia and Herzegovina,76
Botswana,61
Brazil,73
Brunei Darussalam,77
Bulgaria,74
Burkina Faso,52
Burundi,50
Cambodia,61
Cameroon,51
Canada,81
Cape Verde,71
Central African Republic,48
Chad,48
Chile,79
China,74
Colombia,76
Comoros,60
Congo,55
Cook Islands,76
Costa Rica,79
Côte d'Ivoire,50
Croatia,76
Cuba,78
Cyprus,81
Czech Republic,77
Democratic People's Republic of Korea,70
Democratic Republic of the Congo,49
Denmark,79
Djibouti,60
Dominica,74
Dominican Republic,71
Ecuador,75
Egypt,71
El Salvador,72
Equatorial Guinea,53
Eritrea,66
Estonia,75
Ethiopia,54
Fiji,69
Finland,80
France,81
Gabon,62
Gambia,60
Georgia,71
Germany,80
Ghana,60
Greece,80
Grenada,73
Guatemala,69
Guinea,52
Guinea-Bissau,49
Guyana,67
Haiti,62
Honduras,69
Hungary,74
Iceland,82
India,65
Indonesia,68
Iran (Islamic Republic of),73
Iraq,66
Ireland,80
Israel,82
Italy,82
Jamaica,71
Japan,83
Jordan,71
Kazakhstan,64
Kenya,60
Kiribati,68
Kuwait,78
Kyrgyzstan,66
Lao People's Democratic Republic,63
Latvia,72
Lebanon,74
Lesotho,48
Liberia,56
Libyan Arab Jamahiriya,72
Lithuania,73
Luxembourg,81
Madagascar,65
Malawi,47
Malaysia,73
Maldives,75
Mali,53
Malta,80
Marshall Islands,59
Mauritania,58
Mauritius,73
Mexico,76
Micronesia (Federated States of),69
Monaco,82
Mongolia,69
Montenegro,75
Morocco,73
Mozambique,49
Myanmar,64
Namibia,57
Nauru,60
Nepal,67
Netherlands,81
New Zealand,81
Nicaragua,74
Niger,57
Nigeria,54
Niue,72
Norway,81
Oman,74
Pakistan,63
Palau,72
Panama,77
Papua New Guinea,63
Paraguay,74
Peru,76
Philippines,70
Poland,76
Portugal,79
Qatar,78
Republic of Korea,80
Republic of Moldova,69
Romania,73
Russian Federation,68
Rwanda,59
Saint Kitts and Nevis,74
Saint Lucia,74
Saint Vincent and the Grenadines,73
Samoa,70
San Marino,83
Sao Tome and Principe,68
Saudi Arabia,72
Senegal,62
Serbia,74
Seychelles,73
Sierra Leone,49
Singapore,82
Slovakia,75
Slovenia,79
Solomon Islands,71
Somalia,51
South Africa,54
Spain,82
Sri Lanka,71
Sudan,59
Suriname,72
Swaziland,49
Sweden,81
Switzerland,82
Syrian Arab Republic,74
Tajikistan,68
Thailand,70
The former Yugoslav Republic of Macedonia,74
Timor-Leste,67
Togo,59
Tonga,71
Trinidad and Tobago,70
Tunisia,75
Turkey,75
Turkmenistan,63
Tuvalu,64
Uganda,52
Ukraine,68
United Arab Emirates,78
United Kingdom,80
United Republic of Tanzania,55
United States of America,79
Uruguay,76
Uzbekistan,69
Vanuatu,71
Venezuela (Bolivarian Republic of),75
Viet Nam,72
Yemen,65
Zambia,48
Zimbabwe,49
